2025-07-02 13:02:35 | INFO | t3shield | log_requests:49 | GET /static/css/nav.css - 200 - 0.002s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | POST /t3shield/login - 200 - 1.486s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /dashboard-national - 200 - 0.002s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/css/styles.css - 200 - 0.044s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/js/user-management.js - 200 - 0.043s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/js/global-cache.js - 200 - 0.057s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/js/data.js - 200 - 0.056s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/js/map.js - 200 - 0.070s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /static/js/filters.js - 200 - 0.075s
2025-07-02 13:02:43 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.219s
2025-07-02 13:02:45 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-02 13:02:45 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 2.007s
2025-07-02 13:02:45 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-02 13:02:45 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 2.537s
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 2.535s
2025-07-02 13:02:46 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.717s
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.523s
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.573s
2025-07-02 13:02:46 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.574s
2025-07-02 13:02:47 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.574s
2025-07-02 13:02:47 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.584s
2025-07-02 13:02:47 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.672s
2025-07-02 13:02:49 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.401s
2025-07-02 13:02:57 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 8.160s
2025-07-02 16:00:36 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 7.370s
2025-07-02 16:00:37 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.151s
2025-07-02 16:04:36 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.327s
2025-07-02 16:10:06 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.259s
2025-07-02 16:10:14 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 8.090s
2025-07-02 16:14:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.288s
2025-07-02 16:14:24 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 8.765s
2025-07-02 16:18:08 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.132s
2025-07-02 16:18:12 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.218s
2025-07-02 16:18:22 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 9.474s
2025-07-02 16:21:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.245s
2025-07-02 16:21:24 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 9.111s
2025-07-02 16:32:10 | INFO | t3shield | log_requests:49 | POST /t3shield/login - 200 - 1.523s
2025-07-02 16:32:10 | INFO | t3shield | log_requests:49 | GET /static/js/map.js - 304 - 0.004s
2025-07-02 16:32:11 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.292s
2025-07-02 16:32:12 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-02 16:32:12 | INFO | t3shield | log_requests:49 | GET /statistiques - 200 - 0.002s
2025-07-02 16:32:13 | INFO | t3shield | log_requests:49 | GET /js/stats-data-refined.js - 304 - 0.002s
2025-07-02 16:32:13 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-02 16:32:13 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.235s
2025-07-02 16:32:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 4.480s
2025-07-02 16:32:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 4.964s
2025-07-02 16:32:16 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-02 16:32:17 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 6.195s
2025-07-02 16:32:17 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-02 16:32:17 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 6.351s
2025-07-02 16:32:17 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-02 16:32:17 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 2.038s
2025-07-02 16:32:17 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-02 16:32:17 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 2.066s
2025-07-02 16:32:19 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-02 16:32:19 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 2.079s
2025-07-02 16:32:19 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-02 16:32:19 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.319s
2025-07-02 16:32:20 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.584s
2025-07-02 16:32:20 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.586s
2025-07-02 16:32:20 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.591s
2025-07-02 16:32:23 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.335s
2025-07-02 20:39:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.022s
2025-07-02 20:39:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.017s
2025-07-02 20:39:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.017s
2025-07-02 20:39:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.019s
2025-07-02 20:39:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.015s
2025-07-02 20:42:00 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.004s
2025-07-02 20:42:00 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.006s
2025-07-02 20:42:00 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.006s
2025-07-02 20:42:00 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.007s
2025-07-02 20:42:00 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.005s
2025-07-02 20:46:45 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 4.872s
2025-07-02 20:46:47 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.695s
2025-07-02 20:47:57 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.596s
2025-07-02 20:48:00 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.644s
2025-07-02 20:48:56 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.708s
2025-07-02 20:48:56 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.740s
2025-07-02 20:48:56 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.758s
2025-07-02 20:48:57 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.243s
2025-07-02 20:48:57 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.293s
2025-07-02 20:48:57 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.319s
2025-07-02 20:48:58 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.576s
2025-07-02 20:48:59 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.060s
2025-07-02 20:48:59 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.144s
2025-07-02 20:49:01 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.569s
2025-07-02 20:49:01 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.613s
2025-07-02 20:49:01 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.672s
2025-07-02 20:49:39 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.429s
2025-07-02 20:49:39 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.781s
2025-07-02 20:49:39 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.410s
2025-07-02 20:49:40 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 1.164s
2025-07-02 20:49:40 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.491s
2025-07-02 20:49:41 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 1.101s
2025-07-02 20:49:43 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 4.402s
2025-07-02 20:49:43 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 4.613s
2025-07-02 20:49:46 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.638s
2025-07-02 20:49:46 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.627s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.270s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.379s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.409s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.311s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.319s
2025-07-02 20:50:17 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.250s
2025-07-02 20:50:19 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.569s
2025-07-02 20:50:19 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.605s
2025-07-02 20:59:38 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.458s
2025-07-02 20:59:38 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.317s
2025-07-02 20:59:41 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.749s
2025-07-02 20:59:44 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.648s
2025-07-02 20:59:46 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.723s
2025-07-02 21:01:14 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.780s
2025-07-02 21:01:17 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.619s
2025-07-02 21:01:20 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.634s
2025-07-02 21:03:52 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.261s
2025-07-02 21:03:52 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.503s
