2025-07-03 12:21:21 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.238s
2025-07-03 12:21:21 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.314s
2025-07-03 12:21:21 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.171s
2025-07-03 12:21:21 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.229s
2025-07-03 12:21:22 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.172s
2025-07-03 12:21:23 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.087s
2025-07-03 12:21:25 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.552s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.297s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.221s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.319s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.170s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.228s
2025-07-03 12:21:27 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.175s
2025-07-03 12:21:28 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.011s
2025-07-03 12:21:29 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.302s
2025-07-03 12:21:29 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.276s
2025-07-03 12:21:29 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.343s
2025-07-03 12:21:30 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.157s
2025-07-03 12:21:30 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.225s
2025-07-03 12:21:30 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.157s
2025-07-03 12:21:30 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.022s
2025-07-03 12:21:32 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.029s
2025-07-03 12:21:34 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.000s
2025-07-03 12:24:40 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 1.982s
2025-07-03 12:24:42 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.049s
2025-07-03 12:28:46 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.076s
2025-07-03 12:28:48 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.009s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.286s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.249s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.305s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.157s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.252s
2025-07-03 12:28:50 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.158s
2025-07-03 12:28:51 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.071s
2025-07-03 12:28:53 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.043s
2025-07-03 12:28:54 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.295s
2025-07-03 12:28:55 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.219s
2025-07-03 12:28:55 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.315s
